Time (sec),R1 W1 Avg,R1 W2 Avg,R1 R1,R2 W1 Avg,R2 W2 Avg,R2 R1,R3 W1 Avg,R3 W2 Avg,R3 R1,R4 W1 Avg,R4 W2 Avg,R4 R1,R5 W1 Avg,R5 W2 Avg,R5 R1,R6 W1 Avg,R6 W2 Avg,R6 R1,R7 W1 Avg,R7 W2 Avg,R7 R1,R8 W1 Avg,R8 W2 Avg,R8 R1,R9 W1 Avg,R9 W2 Avg,R9 R1,R10 W1 Avg,R10 W2 Avg,R10 R1,R11 W1 Avg,R11 W2 Avg,R11 R1,R12 W1 Avg,R12 W2 Avg,R12 R1,R13 W1 Avg,R13 W2 Avg,R13 R1,R14 W1 Avg,R14 W2 Avg,R14 R1,R15 W1 Avg,R15 W2 Avg,R15 R1,R16 W1 Avg,R16 W2 Avg,R16 R1,R16 R1,R17 W1 Avg,R17 W2 Avg,R17 R1,R18 W1 Avg,R18 W2 Avg,R18 R1,R19 W1 Avg,R19 W2 Avg,R19 R1,R20 W1 Avg,R20 W2 Avg,R20 R1,R21 W1 Avg,R21 W2 Avg,R21 R1,R22 W1 Avg,R22 W2 Avg,R22 R1,R23 W1 Avg,R23 W2 Avg,R23 R1,R24 W1 Avg,R24 W2 Avg,R24 R1,R25 W1 Avg,R25 W2 Avg,R25 R1,R26 W1 Avg,R26 W2 Avg,R26 R1,R27 W1 Avg,R27 W2 Avg,R27 R1,R28 W1 Avg,R28 W2 Avg,R28 R1,R29 W1 Avg,R29 W2 Avg,R29 R1,R30 W1 Avg,R30 W2 Avg,R30 R1,R31 W1 Avg,R31 W2 Avg,R31 R1,R32 W1 Avg,R32 W2 Avg,R32 R1
152.24,0,0,0,58.147916,155.704184,0.39431,51.842023,167.209677,0.32831,44.662243,138.86158,0.342509,59.174413,175.745576,0.381111,21.539677,60.460883,0.425978,59.32345,193.765531,0.326791,70.205674,186.206436,0.421768,85.656481,211.648746,0.407451,72.161149,196.729546,0.396085,51.194452,144.408204,0.372689,68.201888,186.030107,0.410002,40.97512,106.485227,0.518458,89.759216,219.549805,0.419314,88.171068,222.259757,0.405162,62.927352,157.754298,0.474637,40.478884,132.885798,0.352625,50.491232,134.032386,0.427584,35.166324,91.320039,0.511537,39.054373,122.569388,0.397762,35.275559,106.089168,0.387848,25.143008,78.546259,0.443346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.24,0,0,0,56.844242,162.087293,0.369255,50.425109,169.759721,0.311891,43.853336,143.35562,0.323257,58.216498,182.144295,0.358618,21.1551,63.440983,0.392738,58.213566,200.309191,0.310442,69.040054,193.983959,0.396604,84.350463,219.805551,0.386447,70.886902,203.740815,0.372867,50.484682,149.821539,0.35322,67.031873,192.226997,0.386336,40.465072,109.894514,0.496273,88.220724,229.16168,0.39513,86.988577,230.090342,0.385727,61.918952,163.744348,0.450782,39.882285,137.720009,0.333875,49.634377,139.392576,0.401543,34.617073,95.700009,0.478604,38.222894,127.587014,0.370115,34.686416,110.388052,0.363743,24.83128,82.07907,0.418831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.24,0,0,0,55.468381,166.140474,0.355029,49.053444,169.684656,0.305989,42.975845,145.365371,0.31463,57.006156,186.1434,0.350288,20.446517,64.37301,0.375015,56.866397,204.891565,0.296116,67.646791,199.028952,0.385268,82.749755,225.155499,0.370215,69.427354,208.250488,0.361081,49.493273,152.644905,0.341585,65.810526,196.383219,0.373729,39.644958,111.631291,0.483635,86.42897,235.949851,0.376534,85.400689,235.50865,0.370785,60.863257,167.418126,0.435688,39.043919,140.666252,0.320966,48.456252,142.525832,0.384247,33.830257,98.062676,0.454098,37.275522,130.547619,0.355099,33.996906,112.360371,0.351935,24.347751,83.621341,0.397769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.24,0,0,0,55.094265,170.550673,0.344133,48.87864,171.725371,0.300371,43.026469,148.048611,0.310794,56.865996,190.649377,0.341545,20.714179,65.89801,0.372874,56.53275,209.320278,0.289444,67.366217,204.373198,0.375799,82.20022,231.34589,0.357998,69.151575,213.14981,0.353049,49.739848,156.228688,0.335677,65.60348,200.661983,0.367419,39.969222,114.155993,0.486485,85.784545,243.527613,0.362943,85.258472,241.886659,0.360933,60.808967,171.960925,0.430128,39.245154,144.128585,0.317723,48.460691,146.64614,0.373797,34.096485,101.278297,0.444904,37.335812,134.239536,0.350272,34.279642,114.972431,0.347819,24.833928,85.996701,0.398943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.24,0,0,0,53.854012,174.473058,0.329454,47.354403,172.347515,0.289606,42.244489,150.362623,0.299426,55.931089,194.385569,0.329346,19.902861,67.545398,0.345745,55.359991,213.420442,0.27909,66.203589,208.994355,0.357823,80.780478,236.268421,0.344429,67.910293,217.284663,0.34009,48.802018,159.354951,0.321235,64.553811,204.464979,0.355736,39.251358,116.236766,0.46152,84.229316,249.713431,0.346966,83.851002,246.899799,0.346924,59.847529,175.458366,0.409661,38.549848,146.867957,0.305969,47.538071,150.059487,0.357006,33.481575,103.76979,0.427502,36.518111,137.133274,0.333124,33.725456,117.183681,0.330988,24.414626,87.733566,0.382753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.24,0,0,0,52.307309,177.087217,0.316876,46.04769,172.667568,0.282223,41.016224,151.454312,0.290248,54.552901,196.726795,0.317461,18.879415,67.857649,0.333177,53.964433,215.550456,0.270454,64.658191,212.128841,0.345014,79.088508,240.296427,0.331735,66.419931,220.419235,0.327979,47.675886,161.250981,0.311091,63.183395,206.748443,0.342264,38.271977,117.417283,0.449822,82.438944,254.648498,0.333338,82.238488,250.910828,0.335039,58.619406,177.906837,0.39715,37.557724,148.373827,0.296374,46.265229,152.190268,0.343458,32.474922,105.40205,0.411828,35.516765,138.908161,0.321673,32.820477,118.332405,0.322825,23.725064,88.599035,0.373146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.24,0,0,0,51.405554,180.394596,0.304916,45.003749,173.347864,0.272607,40.349171,153.207606,0.281253,53.785027,200.090065,0.306061,18.777985,69.27556,0.319232,53.169372,218.674838,0.25864,63.734975,215.95509,0.332993,77.942444,244.686187,0.320924,65.381121,223.730908,0.316284,47.072982,163.525427,0.302228,62.482911,209.883594,0.335177,37.692404,119.083896,0.434716,81.216658,260.005963,0.321432,81.117806,255.241973,0.324574,57.914248,180.97977,0.385457,37.027337,150.79288,0.285359,45.499816,154.959383,0.332894,32.011722,107.450032,0.394247,34.843627,141.067514,0.311692,32.506843,120.07125,0.313084,23.543961,90.161915,0.363449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.24,0,0,0,51.390032,183.67597,0.302959,45.336007,175.510985,0.272254,40.644525,155.533454,0.279101,54.095344,202.727736,0.307136,19.066169,71.372512,0.316288,53.36869,221.727636,0.259881,63.869067,219.335464,0.332237,77.916892,249.063316,0.315342,65.438529,226.740096,0.314453,47.4362,165.83173,0.301534,62.68015,212.27674,0.332092,38.049481,120.796305,0.434108,80.966005,264.380482,0.315475,81.060512,258.514196,0.3208,58.082059,183.501489,0.383715,37.40346,152.76616,0.284418,45.705677,157.476757,0.326918,32.334532,109.704747,0.392263,35.083703,143.322198,0.307833,32.949835,121.779296,0.314434,24.052832,91.906619,0.360562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.24,0,0,0,50.479215,185.972553,0.293416,44.519791,176.574804,0.26784,40.055626,156.686338,0.274053,53.312171,204.882924,0.299322,18.688308,71.845833,0.306952,52.652201,223.964172,0.253085,62.886694,222.124104,0.324076,76.767775,252.714217,0.306296,64.525671,229.276281,0.306943,46.808865,167.53315,0.294271,61.965914,214.620698,0.324146,37.546724,121.961966,0.427829,79.774515,268.756805,0.306719,79.884738,262.178929,0.311787,57.393264,185.811165,0.378276,36.965932,154.212697,0.282421,44.915638,159.320141,0.319518,31.83422,111.017003,0.384655,34.557756,144.607196,0.303663,32.473755,122.896256,0.307604,23.757099,92.750707,0.359262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.24,0,0,0,49.285328,187.70076,0.283533,43.260418,176.601744,0.259352,39.050985,157.160682,0.266456,52.300043,206.116505,0.291741,18.108147,72.107338,0.294599,51.577883,225.062696,0.246388,61.746217,223.973902,0.312502,75.362856,255.283759,0.297762,63.276194,231.020819,0.297718,45.925901,168.601374,0.287327,60.822632,215.764237,0.316171,36.654614,122.880959,0.415236,78.353653,271.68964,0.298122,78.64293,264.681932,0.303461,56.406019,187.295277,0.366409,36.135197,155.113656,0.272047,43.901633,160.974086,0.309525,31.1191,112.146623,0.370433,33.721932,145.863606,0.29115,31.745811,123.500792,0.297676,23.288233,93.465949,0.34555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
